Language,IndicTrans_BLEU,IndicTrans_CHRF
English,100.00000000000004,100.0
Hindi,37.46386213135842,63.22936301545808
Gujarati,40.203362096245705,63.82725819555494
Marathi,35.24960134338348,63.240491747524054
Kannada,36.995699243881,60.285479051991764
Malayalam,38.02795890655636,62.79120262009581
Tamil,36.375305009710495,60.16738181402441
Telugu,42.21071991388893,66.69803644195963
Bengali,42.447654897808384,67.41483971120776
Assamese,39.329496960552596,61.97493270129799
Punjabi,37.040062249002716,64.86002552912699
Odia,39.9947579616672,63.04609906840977
