Language,IndicTrans_BLEU,IndicTrans_CHRF,HuggingFace_BLEU,HuggingFace_CHRF
Hindi,37.46386213135842,63.22936301545808,32.18836097764979,51.31755763353836
Gujarati,40.203362096245705,63.82725819555494,29.88601319615222,49.510539665300996
Marathi,35.24960134338348,63.240491747524054,26.971915717626146,46.78613755277416
Kannada,36.995699243881,60.285479051991764,25.29982422753723,44.039134699163796
Malayalam,38.02795890655636,62.79120262009581,22.68036517658716,46.98957342259422
Tamil,36.375305009710495,60.16738181402441,25.387703118575793,44.41850528448158
Telugu,42.21071991388893,66.69803644195963,31.47308900222462,50.86901048395976
Bengali,42.447654897808384,67.41483971120776,27.45113189172642,48.25430064794214
Assamese,39.329496960552596,61.97493270129799,29.39365057582693,49.31904268200963
Punjabi,37.040062249002716,64.86002552912699,28.64337378357812,49.691875474229576
Odia,39.9947579616672,63.04609906840977,27.74122107913006,46.78205981556331
